,X,text,results
10,,legal counseling legal due diligence preparation of legal memos and reviews preparation of draft contracts and transactions representation of client court representation visiting and dealing with authorized state bodies assistance in legal translation corporate review and implementation legal analysis preparation of legal transactions schemes and models,"[{'skill_id': 'KS1237L6PKFC8187JKW5', 'doc_node_value': 'due diligence', 'score': 1, 'doc_node_id': [3, 4]}, {'skill_id': 'ES5C7A6EAB8C2FB8B5C5', 'doc_node_value': 'legal analysis', 'score': 1, 'doc_node_id': [37, 38]}]"
11,,legal counseling legal due diligence preparation of legal memos and reviews preparation of draft contracts and transactions representation of client court representation visiting and dealing with authorized state bodies assistance in legal translation corporate review and implementation legal analysis preparation of legal transactions schemes and models,"[{'skill_id': 'KS126CM78T30RTP4PBYM', 'doc_node_id': [8], 'doc_node_value': 'memos', 'type': 'lowSurf', 'score': 1.0, 'len': 1}, {'skill_id': 'KS1241Q68DTT0G7GMBBR', 'doc_node_id': [13], 'doc_node_value': 'draft', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS441HT671WH1P3LZFBC', 'doc_node_id': [32], 'doc_node_value': 'translation', 'type': 'lowSurf', 'score': 0.8569570183753967, 'len': 1}]"
12,,write test plans and test cases throughout the development lifecycle ensure test plans thoroughly cover all requirements and use cases plan schedule and perform manual and automated software tests develop automated regression test suites using automated testing tools foster a continuous improvement approach to qa activities review tools implementations and encourage best practices and sound design principles while remaining practical and deadline driven work closely with software developers to perform early testing on components prior to integration builds manage defect tracking monitor and report results report qa status as appropriate to keep project stakeholders informed on deliverables and timelines,"[{'skill_id': 'KS441BB6S3TN4DL0B6KV', 'doc_node_value': 'test case', 'score': 1, 'doc_node_id': [4, 5]}, {'skill_id': 'KS120376KM9F1NBQ7F7K', 'doc_node_value': 'test suite', 'score': 1, 'doc_node_id': [32, 33]}, {'skill_id': 'ES29449672F0B5221DEE', 'doc_node_value': 'sound design', 'score': 1, 'doc_node_id': [54, 55]}, {'skill_id': 'KS122T4649YBSJHD4ZWV', 'doc_node_value': 'defect tracking', 'score': 1, 'doc_node_id': [79, 80]}, {'skill_id': 'KS1284N6ZGVR60Z44TGW', 'doc_node_value': 'project stakeholder', 'score': 1, 'doc_node_id': [92, 93]}]"
13,,write test plans and test cases throughout the development lifecycle ensure test plans thoroughly cover all requirements and use cases plan schedule and perform manual and automated software tests develop automated regression test suites using automated testing tools foster a continuous improvement approach to qa activities review tools implementations and encourage best practices and sound design principles while remaining practical and deadline driven work closely with software developers to perform early testing on components prior to integration builds manage defect tracking monitor and report results report qa status as appropriate to keep project stakeholders informed on deliverables and timelines,"[{'skill_id': 'KS4425C7820LCHZS7VGX', 'doc_node_id': [0], 'doc_node_value': 'write', 'type': 'lowSurf', 'score': 0.7934276461601257, 'len': 1}, {'skill_id': 'KS441BJ6LNS1QCJHRMTW', 'doc_node_id': [1, 2], 'doc_node_value': 'test plans', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS441BJ6LNS1QCJHRMTW', 'doc_node_id': [11, 12], 'doc_node_value': 'test plans', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS441PG5ZX9X9T4WX0PH', 'doc_node_id': [18, 19], 'doc_node_value': 'use cases', 'type': 'oneToken', 'score': 0.6333333333333333, 'len': 2}, {'skill_id': 'KS441PG5ZX9X9T4WX0PH', 'doc_node_id': [18, 19], 'doc_node_value': 'use cases', 'type': 'oneToken', 'score': 0.6333333333333333, 'len': 2}, {'skill_id': 'ESEB1D4619E6E83A061D', 'doc_node_id': [20], 'doc_node_value': 'plan', 'type': 'lowSurf', 'score': 0.7436007261276245, 'len': 1}, {'skill_id': 'KS680KR72KH02C5GM5TY', 'doc_node_id': [21], 'doc_node_value': 'schedule', 'type': 'lowSurf', 'score': 0.7029056549072266, 'len': 1}, {'skill_id': 'KS120JQ70DXY0GB5YQJ1', 'doc_node_id': [27], 'doc_node_value': 'software', 'type': 'lowSurf', 'score': 1, 'len': 1}, {'skill_id': 'KS120JQ70DXY0GB5YQJ1', 'doc_node_id': [27, 28], 'doc_node_value': 'software tests', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS122WC71YYT5FVJT8WN', 'doc_node_id': [28, 29], 'doc_node_value': 'tests develop', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS122WC71YYT5FVJT8WN', 'doc_node_id': [28, 29], 'doc_node_value': 'tests develop', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS120SQ5W4Q57JMD2Y81', 'doc_node_id': [30], 'doc_node_value': 'automated', 'type': 'lowSurf', 'score': 0.7080965638160706, 'len': 1}, {'skill_id': 'KS128HD6KJSZMPK72WSF', 'doc_node_id': [31, 32], 'doc_node_value': 'regression test', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS124K06PLPSPC7GCY2P', 'doc_node_id': [36, 37], 'doc_node_value': 'testing tools', 'type': 'oneToken', 'score': 0.5666666666666668, 'len': 2}, {'skill_id': 'KS122C06Z8NDM5G6NYNT', 'doc_node_id': [40, 41], 'doc_node_value': 'continuous improvement', 'type': 'oneToken', 'score': 0.6333333333333333, 'len': 2}, {'skill_id': 'KS1219P6MRT9KQQKGRYH', 'doc_node_id': [51, 52], 'doc_node_value': 'best practices', 'type': 'oneToken', 'score': 0.6, 'len': 2}, {'skill_id': 'KS120L96KMYTDJ48NRSH', 'doc_node_id': [66, 67], 'doc_node_value': 'software developers', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS125716TLTGH6SDHJD1', 'doc_node_id': [76], 'doc_node_value': 'integration', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS1217T73BQWJGX5MZ43', 'doc_node_id': [77, 78], 'doc_node_value': 'builds manage', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS441DK5ZDF8Q8FWL19R', 'doc_node_id': [98], 'doc_node_value': 'timelines', 'type': 'fullUni', 'score': 1, 'len': 1}]"
14,,participate in all the steps of the software project from design to integration read understand and modify the existing code develop applications in accordance with given specifications,[]
15,,participate in all the steps of the software project from design to integration read understand and modify the existing code develop applications in accordance with given specifications,"[{'skill_id': 'KS440QV5XFLXCJGYZZZG', 'doc_node_id': [7, 8], 'doc_node_value': 'software project', 'type': 'oneToken', 'score': 0.6333333333333333, 'len': 2}, {'skill_id': 'KS125716TLTGH6SDHJD1', 'doc_node_id': [12], 'doc_node_value': 'integration', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS440BJ6KNCLNVY4Q946', 'doc_node_id': [13], 'doc_node_value': 'read', 'type': 'lowSurf', 'score': 1, 'len': 1}, {'skill_id': 'KS120L16S3RLJ82VQ08H', 'doc_node_id': [20, 21], 'doc_node_value': 'develop applications', 'type': 'lowSurf', 'score': 2, 'len': 2}]"
16,,ensures efficient communication and information flow for bsc office maintains administrative filing manages logistics manages the reception area deals with incoming and outgoing mails answers incoming phone calls provides friendly customer service to clients and visitors provides translation and interpretation english armenian russian,"[{'skill_id': 'KS121Z26S4VJLQ1WXN21', 'doc_node_value': 'customer service', 'score': 1, 'doc_node_id': [30, 31]}]"
17,,ensures efficient communication and information flow for bsc office maintains administrative filing manages logistics manages the reception area deals with incoming and outgoing mails answers incoming phone calls provides friendly customer service to clients and visitors provides translation and interpretation english armenian russian,"[{'skill_id': 'KS122556LMQ829GZCCRV', 'doc_node_id': [2], 'doc_node_value': 'communication', 'type': 'lowSurf', 'score': 0.8526842594146729, 'len': 1}, {'skill_id': 'KS123XG68TN8VQ6LP1H3', 'doc_node_id': [11, 12], 'doc_node_value': 'filing manages', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'ES96E05EA9BD3E4567C3', 'doc_node_id': [12, 14], 'doc_node_value': 'manages manages', 'type': 'oneToken', 'score': 0.6, 'len': 2}, {'skill_id': 'ES96E05EA9BD3E4567C3', 'doc_node_id': [12, 14], 'doc_node_value': 'manages manages', 'type': 'oneToken', 'score': 0.6, 'len': 2}, {'skill_id': 'KS4DOAH8RJ88A8BZ4EY6', 'doc_node_id': [29], 'doc_node_value': 'friendly', 'type': 'lowSurf', 'score': 0.5332951545715332, 'len': 1}, {'skill_id': 'KS441HT671WH1P3LZFBC', 'doc_node_id': [37], 'doc_node_value': 'translation', 'type': 'lowSurf', 'score': 0.8569570183753967, 'len': 1}, {'skill_id': 'KS123K75YYK8VGH90NCS', 'doc_node_id': [40], 'doc_node_value': 'english', 'type': 'lowSurf', 'score': 1, 'len': 1}, {'skill_id': 'ESD9586DAE537548103C', 'doc_node_id': [41], 'doc_node_value': 'armenian', 'type': 'lowSurf', 'score': 1, 'len': 1}, {'skill_id': 'ES6FA055263AB5A79CF7', 'doc_node_id': [42], 'doc_node_value': 'russian', 'type': 'lowSurf', 'score': 1, 'len': 1}]"
18,,inform the organizations staff about ra legislative changes in time prepare all legal documents and internal acts to make sure that the documents meet the requirements of the ra legislation and particularly the central bank of ra provide advice on labor relations represent the interests of the organization in all state entities when necessary carry out legal analysis and research of the organizations documentation and provide recommendations to secure that the content and forms of the documents meet the necessary requirements and norms of the organization and the ra,"[{'skill_id': 'KS125PC72CJK6RF79Q6B', 'doc_node_value': 'labor relation', 'score': 1, 'doc_node_id': [40, 41]}, {'skill_id': 'ES5C7A6EAB8C2FB8B5C5', 'doc_node_value': 'legal analysis', 'score': 1, 'doc_node_id': [56, 57]}]"
19,,inform the organizations staff about ra legislative changes in time prepare all legal documents and internal acts to make sure that the documents meet the requirements of the ra legislation and particularly the central bank of ra provide advice on labor relations represent the interests of the organization in all state entities when necessary carry out legal analysis and research of the organizations documentation and provide recommendations to secure that the content and forms of the documents meet the necessary requirements and norms of the organization and the ra,"[{'skill_id': 'KS125SJ6J3FPRPLTSD7J', 'doc_node_id': [6], 'doc_node_value': 'legislative', 'type': 'lowSurf', 'score': 0.7764422297477722, 'len': 1}, {'skill_id': 'KSCTBRU2NEOZTEJ4OXNM', 'doc_node_id': [12, 13], 'doc_node_value': 'legal documents', 'type': 'oneToken', 'score': 0.5666666666666668, 'len': 2}, {'skill_id': 'KS1205D6BBWBWKN458V2', 'doc_node_id': [16], 'doc_node_value': 'acts', 'type': 'lowSurf', 'score': 0.6006669402122498, 'len': 1}, {'skill_id': 'KS125SJ6J3FPRPLTSD7J', 'doc_node_id': [29], 'doc_node_value': 'legislation', 'type': 'lowSurf', 'score': 1.0, 'len': 1}, {'skill_id': 'KS120WT63K4HC6NX7QXV', 'doc_node_id': [34], 'doc_node_value': 'bank', 'type': 'lowSurf', 'score': 0.7769217491149902, 'len': 1}, {'skill_id': 'KS1203C6N9B52QGB4H67', 'doc_node_id': [59], 'doc_node_value': 'research', 'type': 'fullUni', 'score': 1, 'len': 1}]"
20,,develop and implement pac strategy manage corporate social responsibilities csr programs responsible for external relationship lead company external public events create corporate information materials articles and speeches supervise corporate website contents create news blocks and publications write press releases prepare reports and monitor progress,"[{'skill_id': 'KS122F164HPDT3CWVW24', 'doc_node_value': 'corporate social responsibility', 'score': 1, 'doc_node_id': [6, 7, 8]}, {'skill_id': 'KS1270T6NPQBZL218BW8', 'doc_node_value': 'press release', 'score': 1, 'doc_node_id': [37, 38]}, {'skill_id': 'KS7G4J165LRPBDYWF4Z4', 'score': 1, 'doc_node_value': 'PAC', 'doc_node_id': [3]}]"
