"jobpostnr","nodeid","word","tag"
3,64,"required","O"
3,65,"reports","O"
3,66,"and","O"
3,67,"documentation","O"
3,68,"to","O"
3,69,"the","O"
3,70,"necessary","O"
3,71,"signatories","O"
3,72,"evaluate","O"
3,73,"the","O"
3,74,"credit","B-SKILL"
3,75,"risk","I-SKILL"
3,76,"of","O"
3,77,"clients","O"
3,78,"before","O"
3,79,"the","O"
3,80,"credit","O"
3,81,"committee","O"
3,82,"educate","O"
3,83,"borrowers","O"
3,84,"and","O"
3,85,"guarantors","O"
3,86,"of","O"
3,87,"their","O"
3,88,"rights","O"
3,89,"and","O"
3,90,"obligations","O"
3,91,"including","O"
3,92,"all","O"
3,93,"aspects","O"
3,94,"of","O"
3,95,"servicing","O"
3,96,"the","O"
3,97,"loan","B-SKILL"
3,98,"repayment","O"
3,99,"schedule","B-SKILL"
3,100,"and","O"
3,101,"terms","O"
3,102,"indexing","B-SKILL"
3,103,"etc","O"
3,104,"monitor","O"
3,105,"client","O"
3,106,"businesses","O"
3,107,"to","O"
3,108,"check","O"
3,109,"use","O"
3,110,"of","O"
3,111,"loan","B-SKILL"
3,112,"funds","O"
3,113,"and","O"
3,114,"continuing","O"
3,115,"ability","O"
3,116,"to","O"
3,117,"repay","O"
3,118,"make","O"
3,119,"collections","B-SKILL"
3,120,"and","O"
3,121,"track","B-SKILL"
3,122,"loan","I-SKILL"
3,123,"repayments","O"
3,124,"responsible","O"
3,125,"for","O"
3,126,"ensuring","O"
3,127,"payments","O"
3,128,"are","O"
3,129,"made","O"
3,130,"on","O"
3,131,"time","O"
3,132,"and","O"
3,133,"in","O"
3,134,"the","O"
3,135,"correct","O"
3,136,"amount","O"
4,1,"develop","B-SKILL"
4,2,"excel","O"
4,3,"based","O"
4,4,"and","O"
4,5,"sql","B-SKILL"
4,6,"server","I-SKILL"
4,7,"reporting","I-SKILL"
4,8,"service","O"
4,9,"solutions","O"
4,10,"to","O"
4,11,"manage","O"
4,12,"the","O"
4,13,"daily","O"
4,14,"delivery","O"
4,15,"of","O"
4,16,"reporting","B-SKILL"
4,17,"perform","I-SKILL"
4,18,"daily","O"
4,19,"data","B-SKILL"
4,20,"validation","I-SKILL"
4,21,"and","O"
4,22,"ensure","O"
4,23,"data","O"
4,24,"availability","O"
4,25,"deliver","O"
4,26,"ad","B-SKILL"
4,27,"hoc","I-SKILL"
4,28,"reports","O"
4,29,"alongside","O"
4,30,"standard","O"
4,31,"daily","O"
4,32,"weekly","O"
4,33,"and","O"
4,34,"monthly","O"
4,35,"reporting","O"
4,36,"extract","B-SKILL"
4,37,"data","I-SKILL"
4,38,"and","O"
4,39,"perform","B-SKILL"
4,40,"analysis","I-SKILL"
4,41,"on","O"
4,42,"activities","O"
4,43,"of","O"
4,44,"the","O"
4,45,"brokerage","B-SKILL"
4,46,"business","O"
4,47,"compile","B-SKILL"
4,48,"statistics","I-SKILL"
4,49,"and","O"
4,50,"analyze","O"
4,51,"comparable","O"
4,52,"data","O"
4,53,"develop","O"
4,54,"and","O"
4,55,"maintain","O"
4,56,"reporting","B-SKILL"
4,57,"systems","I-SKILL"
4,58,"analyze","O"
4,59,"existing","O"
4,60,"reports","O"
4,61,"and","O"
4,62,"data","B-SKILL"
4,63,"sources","I-SKILL"
4,64,"develop","O"
4,65,"innovative","B-SKILL"
4,66,"prototypes","I-SKILL"
4,67,"with","O"
4,68,"goal","O"
4,69,"of","O"
4,70,"perpetual","O"
4,71,"identification","O"
4,72,"and","O"
4,73,"creation","O"
4,74,"of","O"
4,75,"efficiencies","O"
4,76,"in","O"
4,77,"the","O"
4,78,"reporting","O"
4,79,"process","B-SKILL"
4,80,"develop","I-SKILL"
4,81,"understanding","O"
4,82,"of","O"
4,83,"information","B-SKILL"
4,84,"sources","I-SKILL"
4,85,"and","O"
4,86,"correct","O"
4,87,"interpretation","O"
4,88,"of","O"
4,89,"data","O"
4,90,"answer","O"
4,91,"user","O"
4,92,"questions","O"
4,93,"regarding","O"
4,94,"report","O"
4,95,"interpretation","O"
4,96,"respond","O"
4,97,"to","O"
4,98,"requests","O"
4,99,"for","O"
4,100,"new","O"
4,101,"reports","O"
4,102,"and","O"
4,103,"identify","O"
4,104,"reporting","O"
4,105,"needs","O"
4,106,"identify","O"
4,107,"deviations","O"
4,108,"from","O"
4,109,"normal","O"
4,110,"results","O"
4,111,"in","O"
4,112,"reporting","O"
4,113,"and","O"
4,114,"highlight","O"
4,115,"and","O"
4,116,"interpret","O"
4,117,"results","O"
4,118,"assist","O"
4,119,"in","O"
4,120,"the","O"
4,121,"design","O"
4,122,"and","O"
4,123,"automation","B-SKILL"
4,124,"of","O"
4,125,"management","B-SKILL"
4,126,"reporting","I-SKILL"
4,127,"perform","I-SKILL"
4,128,"other","O"
4,129,"tasks","O"
4,130,"as","O"
4,131,"assigned","O"
5,1,"develop","O"
5,2,"and","O"
5,3,"promote","O"
5,4,"marketing","B-SKILL"
5,5,"strategy","I-SKILL"
5,6,"of","O"
5,7,"the","O"
5,8,"companys","O"
5,9,"brand","B-SKILL"
5,10,"products","O"
5,11,"present","O"
5,12,"recommendations","O"
5,13,"on","O"
5,14,"market","B-SKILL"
5,15,"development","I-SKILL"
5,16,"and","O"
5,17,"sales","B-SKILL"
5,18,"make","O"
5,19,"research","B-SKILL"
5,20,"on","O"
5,21,"competitors","O"
5,22,"per","O"
5,23,"market","B-SKILL"
5,24,"share","I-SKILL"
5,25,"conduct","O"
5,26,"analysis","O"
5,27,"of","O"
5,28,"basic","O"
5,29,"marketing","O"
5,30,"indicators","B-SKILL"
5,31,"plan","I-SKILL"
5,32,"and","O"
5,33,"implement","O"
5,34,"marketing","B-SKILL"
5,35,"research","I-SKILL"
5,36,"adhere","O"
5,37,"to","O"
5,38,"deadlines","O"
5,39,"meet","O"
5,40,"targets","B-SKILL"
5,41,"and","O"
5,42,"fulfill","O"
5,43,"company","O"
5,44,"and","O"
5,45,"supervisor","O"
5,46,"requirements","O"
5,47,"determine","O"
5,48,"target","B-SKILL"
5,49,"markets","I-SKILL"
5,50,"to","O"
5,51,"expand","O"
5,52,"audience","O"
5,53,"base","O"
5,54,"and","O"
5,55,"decide","O"
5,56,"how","O"
5,57,"target","B-SKILL"
5,58,"market","I-SKILL"
5,59,"will","O"
5,60,"be","O"
5,61,"reached","O"
5,62,"such","O"
5,63,"track","B-SKILL"
5,64,"sales","I-SKILL"
5,65,"in","O"
5,66,"order","O"
5,67,"to","O"
5,68,"monitor","O"
5,69,"promotion","O"
5,70,"effectiveness","O"
5,71,"make","O"
5,72,"annual","O"
5,73,"forecast","B-SKILL"
5,74,"for","O"
5,75,"sales","B-SKILL"
5,76,"submitting","O"
5,77,"marketing","O"
5,78,"recommendations","O"
5,79,"execute","B-SKILL"
5,80,"periodical","O"
5,81,"marketing","B-SKILL"
5,82,"researches","I-SKILL"
5,83,"in","O"
5,84,"retail","O"
5,85,"area","O"
5,86,"analyze","O"
5,87,"the","O"
5,88,"market","O"
5,89,"situation","O"
5,90,"and","O"
5,91,"structure","O"
5,92,"as","O"
5,93,"well","O"
5,94,"as","O"
5,95,"the","O"
5,96,"effectiveness","O"
5,97,"of","O"
5,98,"each","O"
5,99,"marketing","O"
5,100,"action","O"
6,1,"legal","O"
6,2,"counseling","O"
6,3,"legal","O"
6,4,"due","B-SKILL"
6,5,"diligence","I-SKILL"
6,6,"preparation","O"
6,7,"of","O"
6,8,"legal","O"
6,9,"memos","B-SKILL"
6,10,"and","O"
6,11,"reviews","O"
6,12,"preparation","O"
6,13,"of","O"
6,14,"draft","B-SKILL"
6,15,"contracts","O"
6,16,"and","O"
6,17,"transactions","O"
6,18,"representation","O"
6,19,"of","O"
6,20,"client","O"
6,21,"court","O"
6,22,"representation","O"
6,23,"visiting","O"
6,24,"and","O"
6,25,"dealing","O"
6,26,"with","O"
6,27,"authorized","O"
6,28,"state","O"
6,29,"bodies","O"
6,30,"assistance","O"
6,31,"in","O"
6,32,"legal","O"
6,33,"translation","B-SKILL"
6,34,"corporate","O"
6,35,"review","O"
6,36,"and","O"
6,37,"implementation","O"
6,38,"legal","B-SKILL"
6,39,"analysis","I-SKILL"
6,40,"preparation","O"
6,41,"of","O"
6,42,"legal","O"
6,43,"transactions","O"
6,44,"schemes","O"
6,45,"and","O"
6,46,"models","O"
7,1,"write","B-SKILL"
7,2,"test","I-SKILL"
7,3,"plans","I-SKILL"
7,4,"and","O"
7,5,"test","B-SKILL"
7,6,"cases","I-SKILL"
7,7,"throughout","O"
7,8,"the","O"
7,9,"development","O"
7,10,"lifecycle","O"
7,11,"ensure","O"
7,12,"test","B-SKILL"
7,13,"plans","I-SKILL"
7,14,"thoroughly","O"
7,15,"cover","O"
7,16,"all","O"
7,17,"requirements","O"
7,18,"and","O"
7,19,"use","B-SKILL"
7,20,"cases","I-SKILL"
7,21,"plan","I-SKILL"
7,22,"schedule","I-SKILL"
7,23,"and","O"
7,24,"perform","O"
7,25,"manual","O"
7,26,"and","O"
7,27,"automated","O"
7,28,"software","B-SKILL"
7,29,"tests","I-SKILL"
7,30,"develop","I-SKILL"
7,31,"automated","I-SKILL"
7,32,"regression","I-SKILL"
7,33,"test","I-SKILL"
7,34,"suites","I-SKILL"
7,35,"using","O"
7,36,"automated","O"
7,37,"testing","B-SKILL"
7,38,"tools","I-SKILL"
7,39,"foster","O"
7,40,"a","O"
7,41,"continuous","B-SKILL"
7,42,"improvement","I-SKILL"
7,43,"approach","O"
7,44,"to","O"
7,45,"qa","O"
7,46,"activities","O"
7,47,"review","O"
7,48,"tools","O"
7,49,"implementations","O"
7,50,"and","O"
7,51,"encourage","O"
7,52,"best","B-SKILL"
7,53,"practices","I-SKILL"
7,54,"and","O"
7,55,"sound","B-SKILL"
7,56,"design","I-SKILL"
7,57,"principles","O"
7,58,"while","O"
7,59,"remaining","O"
7,60,"practical","O"
7,61,"and","O"
7,62,"deadline","O"
7,63,"driven","O"
7,64,"work","O"
7,65,"closely","O"
7,66,"with","O"
7,67,"software","B-SKILL"
7,68,"developers","I-SKILL"
7,69,"to","O"
7,70,"perform","O"
7,71,"early","O"
7,72,"testing","O"
7,73,"on","O"
7,74,"components","O"
7,75,"prior","O"
7,76,"to","O"
7,77,"integration","B-SKILL"
7,78,"builds","I-SKILL"
7,79,"manage","I-SKILL"
7,80,"defect","I-SKILL"
7,81,"tracking","I-SKILL"
7,82,"monitor","O"
7,83,"and","O"
7,84,"report","O"
7,85,"results","O"
7,86,"report","O"
7,87,"qa","O"
7,88,"status","O"
7,89,"as","O"
7,90,"appropriate","O"
7,91,"to","O"
7,92,"keep","O"
7,93,"project","B-SKILL"
7,94,"stakeholders","I-SKILL"
7,95,"informed","O"
7,96,"on","O"
7,97,"deliverables","O"
7,98,"and","O"
7,99,"timelines","B-SKILL"
8,1,"participate","I-SKILL"
8,2,"in","O"
8,3,"all","O"
8,4,"the","O"
8,5,"steps","O"
8,6,"of","O"
8,7,"the","O"
8,8,"software","B-SKILL"
8,9,"project","I-SKILL"
8,10,"from","O"
8,11,"design","O"
8,12,"to","O"
8,13,"integration","B-SKILL"
8,14,"read","I-SKILL"
8,15,"understand","O"
8,16,"and","O"
8,17,"modify","O"
8,18,"the","O"
8,19,"existing","O"
8,20,"code","O"
8,21,"develop","B-SKILL"
8,22,"applications","I-SKILL"
8,23,"in","O"
8,24,"accordance","O"
8,25,"with","O"
8,26,"given","O"
8,27,"specifications","O"
9,1,"ensures","O"
9,2,"efficient","O"
9,3,"communication","B-SKILL"
9,4,"and","O"
9,5,"information","O"
9,6,"flow","O"
9,7,"for","O"
9,8,"bsc","O"
9,9,"office","O"
9,10,"maintains","O"
9,11,"administrative","O"
9,12,"filing","B-SKILL"
9,13,"manages","I-SKILL"
9,14,"logistics","O"
9,15,"manages","B-SKILL"
9,16,"the","O"
9,17,"reception","O"
9,18,"area","O"
9,19,"deals","O"
9,20,"with","O"
9,21,"incoming","O"
9,22,"and","O"
9,23,"outgoing","O"
9,24,"mails","O"
9,25,"answers","O"
9,26,"incoming","O"
9,27,"phone","O"
9,28,"calls","O"
9,29,"provides","O"
9,30,"friendly","B-SKILL"
9,31,"customer","I-SKILL"
9,32,"service","I-SKILL"
9,33,"to","O"
9,34,"clients","O"
9,35,"and","O"
9,36,"visitors","O"
9,37,"provides","O"
9,38,"translation","B-SKILL"
9,39,"and","O"
9,40,"interpretation","O"
9,41,"english","B-SKILL"
9,42,"armenian","I-SKILL"
9,43,"russian","I-SKILL"
10,1,"inform","O"
10,2,"the","O"
10,3,"organizations","O"
10,4,"staff","O"
10,5,"about","O"
10,6,"ra","O"
10,7,"legislative","B-SKILL"
10,8,"changes","O"
10,9,"in","O"
10,10,"time","O"
10,11,"prepare","O"
10,12,"all","O"
10,13,"legal","B-SKILL"
10,14,"documents","I-SKILL"
10,15,"and","O"
10,16,"internal","O"
10,17,"acts","B-SKILL"
10,18,"to","O"
10,19,"make","O"
10,20,"sure","O"
10,21,"that","O"
10,22,"the","O"
10,23,"documents","O"
10,24,"meet","O"
10,25,"the","O"
10,26,"requirements","O"
10,27,"of","O"
10,28,"the","O"
10,29,"ra","O"
10,30,"legislation","B-SKILL"
10,31,"and","O"
10,32,"particularly","O"
10,33,"the","O"
10,34,"central","O"
10,35,"bank","B-SKILL"
10,36,"of","O"
10,37,"ra","O"
10,38,"provide","O"
10,39,"advice","O"
10,40,"on","O"
10,41,"labor","B-SKILL"
10,42,"relations","I-SKILL"
10,43,"represent","O"
10,44,"the","O"
10,45,"interests","O"
10,46,"of","O"
10,47,"the","O"
10,48,"organization","O"
10,49,"in","O"
10,50,"all","O"
10,51,"state","O"
10,52,"entities","O"
10,53,"when","O"
10,54,"necessary","O"
10,55,"carry","O"
10,56,"out","O"
10,57,"legal","B-SKILL"
10,58,"analysis","I-SKILL"
10,59,"and","O"
10,60,"research","B-SKILL"
10,61,"of","O"
10,62,"the","O"
10,63,"organizations","O"
10,64,"documentation","O"
10,65,"and","O"
10,66,"provide","O"
10,67,"recommendations","O"
10,68,"to","O"
10,69,"secure","O"
10,70,"that","O"
10,71,"the","O"
10,72,"content","O"
10,73,"and","O"
10,74,"forms","O"
10,75,"of","O"
10,76,"the","O"
10,77,"documents","O"
10,78,"meet","O"
10,79,"the","O"
10,80,"necessary","O"
10,81,"requirements","O"
10,82,"and","O"
10,83,"norms","O"
10,84,"of","O"
10,85,"the","O"
10,86,"organization","O"
10,87,"and","O"
10,88,"the","O"
10,89,"ra","O"
11,1,"develop","O"
11,2,"and","O"
11,3,"implement","O"
11,4,"pac","B-SKILL"
11,5,"strategy","O"
11,6,"manage","B-SKILL"
11,7,"corporate","I-SKILL"
11,8,"social","I-SKILL"
11,9,"responsibilities","I-SKILL"
11,10,"csr","O"
11,11,"programs","O"
11,12,"responsible","O"
11,13,"for","O"
11,14,"external","O"
11,15,"relationship","O"
11,16,"lead","O"
11,17,"company","O"
11,18,"external","O"
11,19,"public","O"
11,20,"events","O"
11,21,"create","O"
11,22,"corporate","O"
11,23,"information","O"
11,24,"materials","O"
11,25,"articles","O"
11,26,"and","O"
11,27,"speeches","O"
11,28,"supervise","B-SKILL"
11,29,"corporate","O"
11,30,"website","O"
11,31,"contents","O"
11,32,"create","O"
11,33,"news","O"
11,34,"blocks","O"
11,35,"and","O"
11,36,"publications","O"
11,37,"write","B-SKILL"
11,38,"press","I-SKILL"
11,39,"releases","I-SKILL"
11,40,"prepare","O"
11,41,"reports","O"
11,42,"and","O"
11,43,"monitor","B-SKILL"
11,44,"progress","I-SKILL"
12,1,"provide","O"
12,2,"all","O"
12,3,"kinds","O"
12,4,"of","O"
12,5,"legal","O"
12,6,"advice","O"
12,7,"to","O"
12,8,"clients","O"
12,9,"on","O"
12,10,"transactional","O"
12,11,"labor","O"
12,12,"and","O"
12,13,"corporate","O"
12,14,"matters","O"
12,15,"inclusively","O"
12,16,"draft","B-SKILL"
12,17,"and","O"
12,18,"vet","O"
12,19,"commercial","O"
12,20,"service","O"
12,21,"consulting","B-SKILL"
12,22,"contracts","I-SKILL"
12,23,"negotiate","O"
12,24,"contracts","B-SKILL"
12,25,"with","O"
12,26,"both","O"
12,27,"the","O"
12,28,"customers","O"
12,29,"and","O"
12,30,"service","B-SKILL"
12,31,"providers","I-SKILL"
12,32,"make","O"
12,33,"efforts","O"
12,34,"on","O"
12,35,"establishing","O"
12,36,"templates","B-SKILL"
12,37,"such","O"
12,38,"as","O"
12,39,"mastering","O"
12,40,"service","B-SKILL"
12,41,"agreements","I-SKILL"
12,42,"and","O"
12,43,"statements","O"
12,44,"of","O"
12,45,"work","O"
12,46,"in","O"
12,47,"order","O"
12,48,"to","O"
12,49,"help","O"
12,50,"facilitate","O"
12,51,"the","O"
12,52,"sales","B-SKILL"
12,53,"of","O"
12,54,"services","O"
12,55,"at","O"
12,56,"ni","O"
12,57,"manage","B-SKILL"
12,58,"the","O"
12,59,"corporate","O"
12,60,"work","O"
12,61,"of","O"
12,62,"ni","O"
12,63,"entities","O"
12,64,"manage","B-SKILL"
12,65,"the","O"
12,66,"external","O"
12,67,"counsel","O"
12,68,"legal","O"
12,69,"work","O"
12,70,"develop","O"
12,71,"and","O"
12,72,"manage","B-SKILL"
12,73,"legal","I-SKILL"
12,74,"processes","I-SKILL"
12,75,"for","O"
12,76,"the","O"
12,77,"relevant","O"
12,78,"ni","O"
12,79,"entities","O"
12,80,"perform","O"
12,81,"other","O"
12,82,"duties","O"
12,83,"and","O"
12,84,"related","O"
12,85,"tasks","O"
12,86,"as","O"
12,87,"may","O"
12,88,"be","O"
12,89,"assigned","O"
13,1,"keep","O"
13,2,"abreast","O"
13,3,"of","O"
13,4,"recent","O"
13,5,"policy","O"
13,6,"and","O"
13,7,"institutional","O"
13,8,"developments","O"
13,9,"in","O"
13,10,"the","O"
13,11,"sector","O"
13,12,"and","O"
13,13,"related","O"
13,14,"regulation","O"
13,15,"documents","O"
13,16,"develop","O"
13,17,"terms","O"
13,18,"of","O"
13,19,"reference","O"
13,20,"for","O"
13,21,"contracting","O"
13,22,"consultants","B-SKILL"
13,23,"for","O"
13,24,"the","O"
13,25,"development","O"
13,26,"of","O"
13,27,"state","O"
13,28,"forest","B-SKILL"
13,29,"management","I-SKILL"
13,30,"plans","I-SKILL"
13,31,"contribute","O"
13,32,"to","O"
13,33,"the","O"
13,34,"development","O"
13,35,"of","O"
13,36,"tors","O"
13,37,"for","O"
13,38,"community","O"
13,39,"forest","B-SKILL"
13,40,"management","I-SKILL"
13,41,"and","O"
13,42,"related","O"
13,43,"documents","O"
13,44,"participate","O"
13,45,"in","O"
13,46,"the","O"
13,47,"preparation","O"
13,48,"of","O"
13,49,"technical","O"
13,50,"specifications","O"
13,51,"for","O"
13,52,"the","O"
13,53,"procurement","B-SKILL"
13,54,"of","O"
13,55,"goods","O"
13,56,"and","O"
13,57,"works","O"
13,58,"under","O"
13,59,"the","O"
13,60,"component","O"
13,61,"work","O"
13,62,"closely","O"
13,63,"with","O"
13,64,"the","O"
13,65,"piu","O"
13,66,"director","O"
13,67,"and","O"
13,68,"relevant","O"
13,69,"government","B-SKILL"
13,70,"counterparts","O"
13,71,"to","O"
13,72,"plan","B-SKILL"
13,73,"the","O"
13,74,"arrangements","O"
13,75,"for","O"
13,76,"and","O"
13,77,"timely","O"
13,78,"sequencing","O"
13,79,"of","O"
13,80,"implementation","O"
13,81,"for","O"
13,82,"forest","B-SKILL"
13,83,"management","I-SKILL"
13,84,"activities","O"
13,85,"work","O"
13,86,"closely","O"
13,87,"with","O"
13,88,"the","O"
13,89,"contracted","O"
13,90,"consultants","B-SKILL"
13,91,"local","O"
13,92,"communities","O"
13,93,"state","O"
13,94,"agencies","O"
13,95,"and","O"
13,96,"component","O"
13,97,"coordinators","O"
13,98,"to","O"
13,99,"ensure","O"
13,100,"effective","O"
13,101,"implementation","O"
13,102,"of","O"
13,103,"community","O"
13,104,"forest","B-SKILL"
13,105,"management","I-SKILL"
13,106,"in","O"
13,107,"identified","O"
13,108,"areas","O"
13,109,"monitor","O"
13,110,"and","O"
13,111,"supervise","B-SKILL"
13,112,"the","O"
13,113,"consultants","B-SKILL"
13,114,"to","O"
13,115,"ensure","O"
13,116,"that","O"
13,117,"activities","O"
13,118,"are","O"
13,119,"conducted","O"
13,120,"in","O"
13,121,"a","O"
13,122,"participatory","O"
13,123,"manner","O"
13,124,"and","O"
13,125,"at","O"
13,126,"a","O"
13,127,"level","O"
13,128,"of","O"
13,129,"high","O"
13,130,"technical","O"
13,131,"quality","O"
13,132,"according","O"
13,133,"to","O"
13,134,"the","O"
13,135,"guidelines","O"
13,136,"set","O"
13,137,"down","O"
13,138,"in","O"
13,139,"their","O"
13,140,"terms","O"
13,141,"of","O"
13,142,"reference","O"
13,143,"coordinate","B-SKILL"
13,144,"component","O"
13,145,"activities","O"
13,146,"with","O"
13,147,"other","O"
13,148,"donors","O"
13,149,"working","O"
13,150,"in","O"
13,151,"the","O"
13,152,"project","O"
13,153,"areas","O"
13,154,"and","O"
13,155,"on","O"
13,156,"similar","O"
13,157,"issues","O"
13,158,"coordinate","B-SKILL"
13,159,"project","I-SKILL"
13,160,"activities","O"
13,161,"with","O"
13,162,"other","O"
13,163,"bank","B-SKILL"
13,164,"projects","O"
13,165,"working","O"
13,166,"in","O"
13,167,"the","O"
13,168,"project","O"
13,169,"areas","O"
13,170,"report","O"
13,171,"regularly","O"
13,172,"at","O"
13,173,"least","O"
13,174,"once","O"
13,175,"a","O"
13,176,"month","O"
13,177,"to","O"
13,178,"the","O"
13,179,"piu","O"
13,180,"director","O"
13,181,"on","O"
13,182,"the","O"
13,183,"progress","O"
13,184,"of","O"
13,185,"implementation","O"
13,186,"problem","O"
13,187,"areas","O"
13,188,"and","O"
13,189,"other","O"
13,190,"issues","O"
13,191,"related","O"
13,192,"to","O"
13,193,"implementation","O"
13,194,"coordinate","B-SKILL"
13,195,"the","O"
13,196,"implementation","O"
13,197,"of","O"
13,198,"component","O"
13,199,"activities","O"
13,200,"with","O"
13,201,"the","O"
13,202,"community","O"
13,203,"watershed","B-SKILL"
13,204,"management","I-SKILL"
13,205,"and","O"
13,206,"protected","O"
13,207,"areas","O"
13,208,"component","O"
13,209,"coordinators","O"
13,210,"work","O"
13,211,"closely","O"
13,212,"with","O"
13,213,"the","O"
13,214,"monitoring","O"
13,215,"and","O"
